time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-10-13T21:14:44.600Z,49.4013,-120.5053,0,2.4,Md,,205.2,0.58390493,0.54,uw,uw60892047,2014-10-13T21:40:01.407Z,"6km S of Princeton, Canada",quarry
2014-10-13T21:07:16.350Z,38.8261681,-122.8054962,3.03,0.56,md,10,97,0.004523,0.01,nc,nc72326581,2014-10-13T23:48:03.878Z,"6km NW of The Geysers, California",earthquake
2014-10-13T20:54:15.400Z,36.2731,-89.457,5.9,2,md,13,100.799991936001,0.02694946,0.1,nm,nm60020578,2014-10-14T13:25:05.581Z,"2km ENE of Ridgely, Tennessee",earthquake
2014-10-13T20:45:33.480Z,34.0111667,-116.325,8.24,0.95,ml,30,56,0.07919,0.22,ci,ci37278776,2014-10-13T20:49:29.850Z,"13km S of Joshua Tree, California",earthquake
2014-10-13T20:43:59.750Z,33.4893333,-116.421,11.38,0.86,ml,23,114,0.0342,0.28,ci,ci37278768,2014-10-13T22:48:42.970Z,"21km SSW of La Quinta, California",earthquake
2014-10-13T20:39:04.000Z,63.5112,-150.9243,10,1.1,ml,8,133.199989344001,0.0413225,0.51,ak,ak11417508,2014-10-14T01:16:03.104Z,"99km W of Cantwell, Alaska",earthquake
2014-10-13T20:28:39.000Z,63.4777,-146.7561,10.3,1.5,ml,7,158.399987328001,0.780636,0.47,ak,ak11417507,2014-10-14T01:15:13.363Z,"80km SW of Delta Junction, Alaska",earthquake
2014-10-13T20:09:42.160Z,37.3429985,-122.2391663,8.89,1.08,md,7,125,0.02907,0.03,nc,nc72326566,2014-10-13T20:46:04.668Z,"4km S of Portola Valley, California",earthquake
2014-10-13T20:05:52.220Z,37.4783325,-118.7764969,7.76,1.64,md,25,152,0.1191,0.03,nc,nc72326561,2014-10-13T23:19:05.793Z,"25km SE of Mammoth Lakes, California",earthquake
2014-10-13T19:59:37.540Z,38.8306656,-122.870163,2.33,0.82,md,8,173,0.009394,0.03,nc,nc72326556,2014-10-13T20:22:02.068Z,"11km WNW of The Geysers, California",earthquake
2014-10-13T19:57:37.000Z,63.4799,-150.8951,4.9,1.8,ml,21,86.3999930880005,0.07366185,0.63,ak,ak11417502,2014-10-14T01:15:12.045Z,"97km W of Cantwell, Alaska",earthquake
2014-10-13T19:55:36.910Z,34.1353333,-116.5896667,1.1,1.09,ml,16,78,0.07809,0.33,ci,ci37278760,2014-10-13T19:59:24.230Z,"9km N of Morongo Valley, California",earthquake
2014-10-13T19:54:37.630Z,33.8523333,-117.5178333,0.01,1.25,ml,19,58,0.0699,0.35,ci,ci37278752,2014-10-13T19:58:50.373Z,"1km NNE of El Cerrito, California",quarry_blast
2014-10-13T19:50:19.740Z,37.0701675,-121.1371689,5.03,2.31,md,46,69,0.03509,0.06,nc,nc72326551,2014-10-14T02:19:08.302Z,"24km SSW of Gustine, California",earthquake
2014-10-13T19:43:43.880Z,37.6196671,-118.8463364,4.75,0.94,md,12,108,0.01321,0.01,nc,nc72326546,2014-10-13T20:10:05.756Z,"11km ESE of Mammoth Lakes, California",earthquake
2014-10-13T19:43:37.230Z,32.5471667,-115.6878333,3.38,2.22,ml,23,92,0.1069,0.39,ci,ci37278744,2014-10-13T22:49:18.160Z,"10km WSW of Progreso, Mexico",earthquake
2014-10-13T19:43:28.900Z,19.3253,-155.1275,3.3,2,Ml,,183.6,0.03593261,0.25,hv,hv60788981,2014-10-13T19:49:19.690Z,"16km SE of Volcano, Hawaii",earthquake
